  S    T    X  AorM Estp gear  speed   steer  brk     enc     alv etx0 etx1
0x53 0x54 0x58 0x01 0x00    2      0  13   0   17          0   32 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 244 255  200          0   34 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 247 255  200          0   35 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 247 255   17          0   36 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 254 255  200          0   37 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 254 255  200          0   38 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0   17          0   39 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   40 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   41 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0   17          0   42 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   43 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   44 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0   17          0   45 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   46 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 134   0  200          0   47 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 134   0   17          0   48 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 140   0  200          0   49 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 140   0  200          0   50 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 247 255   17          0   51 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 247 255  200          0   52 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   3   0  200          0   53 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   3   0   17          0   54 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   4   0  200          0   55 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   4   0  200          0   56 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   4   0   17          0   57 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   4   0   17          0   58 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   4   0  200          0   59 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   3   0   17          0   61 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   3   0   17          0   62 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  47 255  200          0   63 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x10    2      0  47 255   17          0   64 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 179 253   17          0   65 0x0d 0x0a 
